Data,Week,lng,lat,text
17th Nov 1807,Tuesday,65.2,19.12,"Pleasant Breezes and fair weather, but rough Sea. The Netley and Convoy in company."
18th Nov 1807,Wednesday,64.48,19.50,Light Winds and fine weather.
19th Nov 1807,Thursday,64.47,20.15,"Fresh Breezes and cloudy weather, accompanied with rain. // f. 54v"
20th Nov 1807,Friday,65.0,20.58,Light Winds and fair weather.
21th Nov 1807,Saturday,65.4,21.57,"Light airs and fine weather. The Netleys signal was made to speak the Commodore; about 5 P.M. Lieutt. [space left] came on board, when Captn: Cochrane delivered him sundry Letters and Dispatches, with orders to return to Tortola. I wrote Fitzwilliam by this Opportunity."
22d Nov 1807,Sunday,65.11,22.35,Light Winds and fair weather.
23th Nov 1807,Monday,65.11,23.07,"Light Winds and pleasant weather. 2 Vessels of the Convoy missing. Saw a strange Sail."
24th Nov 1807,Tuesday,65.28,23.18,Calm[.]
25th Nov 1807,Wednesday,65.33,23.28,"Pleasant Breezes and fair weather. Saw a strange sail to Windward."
26th Nov 1807,Thursday,65.55,24.19,"Pleasant Breezes with fine weather. 2 more of the Convoy missing, one of which was the British Queen."
27th Nov 1807,Friday,65.39,25.29,"Pleasant Breezes and fair weather. The Sloop Mary, bound to Newfoundland[,] parted company by permission from the Commodore. // f. 55"
28th Nov 1807,Saturday,65.43,26.24,"Light winds and cloudy weather. One of the sick died, and was committed to the deep about Sun set."
29th Nov 1807,Sunday,64.53,26.15,"Light winds inclining to calm, with fine weather in the early part of this day, the latter part strong Breezes and heavy Sea."
30th Nov 1807,Monday,63.55,26.16,"Fresh Breezes with rough Sea, and fair weather."
1st Dec 1807,Tuesday,63.15,26.02,
2d Dec 1807,Wednesday,63.59,26.47,"Light winds and fine weather. One more of the Convoy missing."
3d Dec 1807,Thursday,64.24,27.50,"Light airs with the fair weather. This day the ship British Queen rejoined the Convoy."
4th Dec 1807,Friday,64.7,28.03,Light Breezes and fair weather.
5th Dec 1807,Saturday,63.56,29.04,Fine fair Winds and weather.
6th Dec 1807,Sunday,61.19,30.32,"Fair Wind and weather. The latter part strong Breezes from the N.W. with heavy Sea. // f. 55v"
7th Dec 1807,Monday,59.28,32.0,"Do. obsd. 60°.37. Strong Breezes and squally weather, with a rough Sea. Spoke the Ship Pomona, 8 days from New York bound to Guadeloupe; who informed us that the dispute between England and America was amicably adjusted."
8th Dec 1807,Tuesday,57.42,33.4,"Obsd. 58°.51. Moderate Breezes and fair weather. One of the sick died. Saw a strange Vessel bound to the Southward. One more of the Convoy missing."
9th Dec 1807,Wednesday,57.29,33.30,"Light Breezes and fine Weather. Saw a strange sail steering to the Southward. Two more of the Convoy missing."
10th Dec 1807,Thursday,55.36,33.28,"Obsd. 56°.45. The early part of this day light Breezes inclining to calm, the latter part fine Breezes from S.W. At 10 A.M. Captn. [оставлен пробел?] of the Ship Otter came on board and informed the Commodore his ship had sprung a leak, and requested the Carpenter might be sent on board to examine it; this was complyed [sic!] with, and the Carpenter on his return reported to Captn. Cochrane, that the smallest Gale would endanger the lives of the People, as she must inevitably founder; there being no possibility of stopping the leak. Mr: Phillips /the Master/ and Lieutt. White, accompanied by the Carpenter, went together on board, and after due examination confirmed the above report. A Signal was made for all Boats, and they were // f. 56 were ordered to attend the Otter, to save such articles as could conveniently be come at, previous to her being destroyed. Captn. Cochrane acoompanied by Captn. Campbell attended this operation, and sent from on board the Otter sundry Packages of Indigo, Cotton, and Elephants Teeth, with part of her Crew. At 5 P.M. she was set on fire, and afforded us a spectacle awfully grand."
11th Dec 1807,Friday,54.29,34.43,"Obsd. 55[°].38[]. Fresh Breezes and fair weather. The latter part of this day it blew a Gale from the S.W. with a heavy Sea: we scud under bare Poles, in order to keep company with the Convoy."
12th Dec 1807,Saturday,52.49,36.35,"Obsd. 53[°].58[]. Strong Breezes with fair weather. One of the Convoy missing. Saw a strange Sail."
13th Dec 1807,Sunday,50.54,37.41,"Moderate Breezes and fine weather. Two more of the Convoy missing."
14th Dec 1807,Monday,48.54,39.5,"Fresh Breezes and fair weather. Two more of the Convoy missing."
15th Dec 1807,Tuesday,46.25,41.7,"Strong Breezes and fine weather, but rough Sea and cloudy atmosphere. // f. 57v"
16th Dec 1807,Wednesday,42.11,43.16,"This day it blew a Gale from N.W. with frequent showers of Hail and Rain, and very high Sea. Nine of the Convoy only in sight; one of which had a signal of distress flying, and was answered by the Commodore; but we could neither speak him, or afford him any relief on account of the very great Sea, which would not admit the Boats to be hoisted out."
17th Dec 1807,Thursday,42.58,40.18,Continuation of the Gale with the Wind from the S.W. and rain. Scudding under bare Poles. At Noon none of the Convoy in sight. One of the sick Men died.
18th Dec 1807,Friday,37.20,43.30,"This day the Gale encreased [sic!], with the Wind from the Northward, accompanied with frequent showers of Hail, and very high Sea. The Ship lying to under a trysail."
19th Dec 1807,Saturday,36.38,43.12,"Moderate Breezes and cloudy weather with rough Sea. Saw a Sail to Nd:. A sick Man died."
20th Dec 1807,Sunday,33.19,44.15,Moderate Breezes with Rain and Fogs.
21th Dec 1807,Monday,30.28,46.49,Strong Breezes and cloudy weather. // f. 58
22d Dec 1807,Tuesday,31.10,48.4,Pleasant Breezes with remarkable fine weather. 
23 Dec 1807,Wednesday,26.49,49.2,Fresh Breezes and fair weather.
24th Dec 1807,Thursday,19.02,49.20,"Fresh Breezes with rain and hazy weather. One of the sick died."
25th Dec 1807,Friday,14.37,49.10,"Pleasant Breezes and variable weather. Another of the sick died."
26th Dec 1807,Saturday,11.34,49.32,"Fresh Breezes and fair weather. Sounded but got no bottom."
27th Dec 1807,Sunday,9.20,49.2,"Strong Breezes and fair weather. At 8 A.M. spoke Transport № 3 from Falmouth bound to [space left] who informd us that Scilly bore E. by N.W. 4 Miles distant. 3 other Vesseld in sight. At 4 P.M. got soundings in 80 Fathoms. Lying to part of the Night, and frequently sounding."
28th Dec 1807,Monday,5.46,49.26,"This day it blew a Gale from the S.W. with heavy Sea, Rain and hazy weather. Lying to part of the Night, and frequently sounding. // f. 58v"
