date_old;day_of_week;date_new;longitude;latitude;weather;wind;entry
2 Sepr.1805;Monday;12.00 1 Sep1805 - 23.59 1 09.1805;;;;;"At 7 A.M. embarked at Gravesend on board the Ship Polly Captn. Wm: Coit for New York, in company with Messrs: Martin (Genl. Miranda), James Coultery, James Taylor and W. D. Dunscombe, Cabbin Passengers: and proceeded down the River. At 6 P.M. spoke the Ship Amelia Captn. Mat[t]hews from Philadelphia out 32 Days, all well. At 12 P.M. came to anchor off the North Foreland."
;;00.00 2 09.1805 - 12.00 2 09.1805;;;;;"At 9 A.M. hove up the Anchor and steered for the Downs."
3 Sepr.1805;Tuesday;12.00 2 Sep1805 - 23.59 2 09.1805;;;Fresh Breezes and Cloudy weather;Winds from the southward and westward.;" At 6 P.M. cast anchor the South Foreland bearing S.W[.] by S. and the North Foreland. N.E. by N. "
;;00.00 3 09.1805 - 12.00 3 09.1805;;;;;""
4..Sepr.1805;Wednesday;12.00 3 09.1805 - 23.59 3 09.1805;;;;;"At Noon hove up the anchor and plyed to the Downs. At 4 P.M. came to the, South Foreland bearing S.W. by S. distance about 7 Miles. Discharged the Pilot. One Man on board sick of the small Pox."
;;00.00 3 09.1805 - 12.00 3 09.1805;;;;;""
5..Sepr.1805;Thursday;12.00 04.09.1805 - 23.59 04.09.1805;;;This day strong Breezes and Cloudy weather.;Wind S.W.;""
;;00.00 05.09.1805 - 12.00 05.09.1805;;;;;""
6.Sepr.1805;Friday;12.00 05.09.1805 - 23.59 05.09.1805;;;heavy Rains;Fresh Breezes from the S.E.;" hove up the anchor and made sail. At 7 A.M. the wind hauled to the S.W. with heavy Rains: stood towards the Downs, and at 8 came to, the South Foreland bearing S.W. by S. and DealCastle N.W. by N. The sick Man much the same."
;;00.00 06.09.1805 - 12.00 06.09.1805;;;;;""
7.Sepr.1805;Saturday;12.00 06.09.1805 - 23.59 06.09.1805;;;This day it blew a Gale of Wind from the S.W., and heavy sea;Gale of Wind from the S.W.;". Struck fore & main Top gallant Yards, and housed Top gallant Masts. Our situation until the evening, (when the wind abated) very unpleasant, being apprehensive we should drive, or be run foul of, by some of the armed Vessels with which we are surrounded."
;;00.00 07.09.1805 - 12.00 07.09.1805;;;;;""
8.Sepr.1805;Sunday;12.00 07.09.1805 - 23.59 07.09.1805;;;This day Moderate weather with showers of Rain.;;" Messrs: Coultery, Taylor, and myself went on shore in one of the Deal Boats, for the purpose of recruiting our spirits, and gaining Political information. We dined together at the Walmer Castle Inn. At 8 P.M. I returned on board leaving the above Gentlemen on shore."
